Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Equity Oriented Investment Strategies - Equity Long-Short Fund )
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.52;19-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.57;20-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.56;21-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.54;24-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.61;25-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.65;26-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.63;27-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.65;28-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.60;31-Aug-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.54;01-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.51;02-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.58;03-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.60;04-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.54;07-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.51;08-Sep-2026
SIF-151;Summit Equity Long-Short Fund - Direct Plan - IDCW (Payout / Reinvestment);Direct Plan;IDCW;INF205K30055;INF205K30063;10.45;09-Sep-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;9.98;24-Jul-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.03000000;27-Jul-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.05000000;28-Jul-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.07000000;29-Jul-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.20000000;30-Jul-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.23000000;31-Jul-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.30000000;03-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.27000000;04-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.31000000;05-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.33;06-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.30;07-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.31;10-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.31;11-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.31;12-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.32;13-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.31;14-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.42;17-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.48;18-Aug-2026
SIF-150;Summit Equity Long-Short Fund - Regular Plan - Growth;Regular Plan;Growth;INF205K30014;;10.51;19-Aug-2026
